Computer Software,1002
Information Technology and Services,815
Research,577
Financial Services,555
Chemicals,504
Biotechnology,462
Higher Education,446
Electrical/Electronic Manufacturing,440
Pharmaceuticals,425
Telecommunications,365
Internet,363
Semiconductors,321
Accounting,306
Oil & Energy,300
Human Resources,280
Education Management,277
Hospital & Health Care,273
Automotive,223
Banking,221
Marketing and Advertising,215
Management Consulting,164
Computer Networking,162
Consumer Electronics,158
Architecture & Planning,139
Real Estate,131
Hospitality,128
Consumer Goods,127
Computer Hardware,124
International Trade and Development,123
Environmental Services,117
Design,113
Retail,108
Translation and Localization,108
Civil Engineering,106
Plastics,100
Public Relations and Communications,85
Legal Services,82
International Affairs,71
Computer Games,70
Computer & Network Security,67
Government Administration,63
"Leisure, Travel & Tourism",60
Investment Banking,60
Arts and Crafts,59
Staffing and Recruiting,53
not specific,40
Luxury Goods & Jewelry,35
Broadcast Media,30
Entertainment,28
Program Development,28
Venture Capital & Private Equity,28
Online Media,18
Animation,14
Libraries,8
Food & Beverages,2
Motion Pictures and Film,1
Investment Management,1
Airlines/Aviation,1
Mining & Metals,1
Outsourcing/Offshoring,1
Industrial Automation,1
Public Policy,1
Market Research,1
Nanotechnology,1
Civic & Social Organization,1
Mechanical or Industrial Engineering,1
