0,Computer Software
1,Information Technology and Services
2,Research
3,Financial Services
4,Chemicals
5,Biotechnology
6,Higher Education
7,Electrical/Electronic Manufacturing
8,Pharmaceuticals
9,Telecommunications
10,Internet
11,Semiconductors
12,Accounting
13,Oil & Energy
14,Human Resources
15,Education Management
16,Hospital & Health Care
17,Automotive
18,Banking
19,Marketing and Advertising
20,Management Consulting
21,Computer Networking
22,Consumer Electronics
23,Architecture & Planning
24,Real Estate
25,Hospitality
26,Consumer Goods
27,Computer Hardware
28,International Trade and Development
29,Environmental Services
30,Design
31,Retail
32,Translation and Localization
33,Civil Engineering
34,Plastics
35,Public Relations and Communications
36,Legal Services
37,International Affairs
38,Computer Games
39,Computer & Network Security
40,Government Administration
41,"Leisure, Travel & Tourism"
42,Investment Banking
43,Arts and Crafts
44,Staffing and Recruiting
45,not specific
46,Luxury Goods & Jewelry
47,Broadcast Media
48,Entertainment
49,Program Development
50,Venture Capital & Private Equity
51,Online Media
52,Animation
53,Libraries
54,Food & Beverages
55,Motion Pictures and Film
56,Investment Management
57,Airlines/Aviation
58,Mining & Metals
59,Outsourcing/Offshoring
60,Industrial Automation
61,Public Policy
62,Market Research
63,Nanotechnology
64,Civic & Social Organization
65,Mechanical or Industrial Engineering
